PeriodEnd,PeriodStart,Period,AirTemp,Dhi,Dni,Ghi,PrecipitableWater,RelativeHumidity,SurfacePressure,WindDirection10m,WindSpeed10m
2019-12-30T02:00:00Z,2019-12-30T01:00:00Z,PT60M,11.6,0,0,0,20.7,89.6,1009.4,149,5.3
2019-12-30T03:00:00Z,2019-12-30T02:00:00Z,PT60M,11.6,0,0,0,20.5,88.7,1009.0,141,4.4
2019-12-30T04:00:00Z,2019-12-30T03:00:00Z,PT60M,11.5,0,0,0,20.1,88.7,1009.2,121,3.2
2019-12-30T05:00:00Z,2019-12-30T04:00:00Z,PT60M,11.2,0,0,0,19.9,89.0,1009.9,71,2.5
2019-12-30T06:00:00Z,2019-12-30T05:00:00Z,PT60M,10.6,0,0,0,20.1,89.5,1010.7,42,4.8
2019-12-30T07:00:00Z,2019-12-30T06:00:00Z,PT60M,9.9,0,0,0,20.1,89.5,1011.4,42,6.1
2019-12-30T08:00:00Z,2019-12-30T07:00:00Z,PT60M,9.7,0,0,0,19.4,87.9,1011.2,42,5.8
2019-12-30T09:00:00Z,2019-12-30T08:00:00Z,PT60M,9.4,0,0,0,18.8,86.4,1011.3,46,6.0
2019-12-30T10:00:00Z,2019-12-30T09:00:00Z,PT60M,9.4,0,0,0,18.5,85.0,1011.8,53,6.0
2019-12-30T11:00:00Z,2019-12-30T10:00:00Z,PT60M,9.5,0,0,0,18.2,83.2,1012.5,51,6.0
2019-12-30T12:00:00Z,2019-12-30T11:00:00Z,PT60M,9.7,0,0,0,17.9,83.9,1013.2,47,5.2
2019-12-30T13:00:00Z,2019-12-30T12:00:00Z,PT60M,9.6,0,0,0,17.3,84.7,1013.2,42,4.2
2019-12-30T14:00:00Z,2019-12-30T13:00:00Z,PT60M,9.3,0,0,0,16.3,84.7,1012.9,39,4.0
2019-12-30T15:00:00Z,2019-12-30T14:00:00Z,PT60M,9.0,0,0,0,15.7,84.9,1013.2,31,3.5
2019-12-30T16:00:00Z,2019-12-30T15:00:00Z,PT60M,8.9,8,59,13,15.3,84.6,1013.7,17,2.9
2019-12-30T17:00:00Z,2019-12-30T16:00:00Z,PT60M,9.2,47,463,130,14.9,82.9,1014.4,14,2.8
2019-12-30T18:00:00Z,2019-12-30T17:00:00Z,PT60M,9.9,71,658,277,14.7,77.7,1015.2,4,1.9
2019-12-30T19:00:00Z,2019-12-30T18:00:00Z,PT60M,10.6,80,763,395,14.5,72.7,1015.5,3,1.1
2019-12-30T20:00:00Z,2019-12-30T19:00:00Z,PT60M,11.2,85,804,464,14.3,69.1,1015.2,14,0.8
2019-12-30T21:00:00Z,2019-12-30T20:00:00Z,PT60M,11.6,98,769,468,14.0,66.6,1013.9,349,0.2
2019-12-30T22:00:00Z,2019-12-30T21:00:00Z,PT60M,12.0,156,531,389,13.8,64.9,1012.8,310,0.4
2019-12-30T23:00:00Z,2019-12-30T22:00:00Z,PT60M,12.4,118,530,305,13.8,64.5,1013.0,305,1.4
2019-12-31T00:00:00Z,2019-12-30T23:00:00Z,PT60M,12.5,77,428,178,14.0,69.0,1013.4,274,2.0
2019-12-31T01:00:00Z,2019-12-31T00:00:00Z,PT60M,12.2,24,197,45,14.3,75.6,1013.6,261,2.2
2019-12-31T02:00:00Z,2019-12-31T01:00:00Z,PT60M,11.7,0,0,0,14.1,80.5,1013.3,274,2.1
2019-12-31T03:00:00Z,2019-12-31T02:00:00Z,PT60M,11.4,0,0,0,13.8,82.9,1013.4,298,2.0
2019-12-31T04:00:00Z,2019-12-31T03:00:00Z,PT60M,11.3,0,0,0,13.7,83.5,1014.0,318,1.9
2019-12-31T05:00:00Z,2019-12-31T04:00:00Z,PT60M,11.3,0,0,0,13.4,83.2,1014.3,323,1.6
2019-12-31T06:00:00Z,2019-12-31T05:00:00Z,PT60M,11.2,0,0,0,12.9,84.0,1014.1,310,1.2
2019-12-31T07:00:00Z,2019-12-31T06:00:00Z,PT60M,11.3,0,0,0,12.2,84.0,1014.0,317,1.5
2019-12-31T08:00:00Z,2019-12-31T07:00:00Z,PT60M,11.2,0,0,0,11.6,82.3,1013.8,345,1.8
2019-12-31T09:00:00Z,2019-12-31T08:00:00Z,PT60M,11.1,0,0,0,10.9,80.9,1013.8,3,2.1
2019-12-31T10:00:00Z,2019-12-31T09:00:00Z,PT60M,11.0,0,0,0,10.4,79.0,1014.3,10,2.2
2019-12-31T11:00:00Z,2019-12-31T10:00:00Z,PT60M,10.8,0,0,0,10.0,77.4,1014.7,36,2.0
2019-12-31T12:00:00Z,2019-12-31T11:00:00Z,PT60M,10.6,0,0,0,10.4,80.7,1014.6,46,1.5
2019-12-31T13:00:00Z,2019-12-31T12:00:00Z,PT60M,10.7,0,0,0,10.8,83.7,1014.3,50,1.2
2019-12-31T14:00:00Z,2019-12-31T13:00:00Z,PT60M,10.6,0,0,0,11.0,82.0,1014.4,56,1.8
2019-12-31T15:00:00Z,2019-12-31T14:00:00Z,PT60M,10.4,0,0,0,11.6,80.0,1014.6,50,2.3
2019-12-31T16:00:00Z,2019-12-31T15:00:00Z,PT60M,10.3,8,60,14,12.1,77.0,1014.7,51,2.3
2019-12-31T17:00:00Z,2019-12-31T16:00:00Z,PT60M,10.7,39,540,137,12.7,72.9,1015.0,64,2.4
2019-12-31T18:00:00Z,2019-12-31T17:00:00Z,PT60M,11.7,72,663,277,14.1,68.2,1015.5,96,2.0
2019-12-31T19:00:00Z,2019-12-31T18:00:00Z,PT60M,12.9,117,612,371,15.5,62.2,1015.9,106,1.7
2019-12-31T20:00:00Z,2019-12-31T19:00:00Z,PT60M,13.5,100,747,452,16.2,57.6,1015.8,65,1.3
2019-12-31T21:00:00Z,2019-12-31T20:00:00Z,PT60M,13.8,113,712,456,16.7,56.3,1015.0,26,0.8
2019-12-31T22:00:00Z,2019-12-31T21:00:00Z,PT60M,14.0,177,440,371,16.9,56.2,1014.5,350,0.9
2019-12-31T23:00:00Z,2019-12-31T22:00:00Z,PT60M,14.1,128,479,298,16.2,56.8,1014.4,343,0.7
2020-01-01T00:00:00Z,2019-12-31T23:00:00Z,PT60M,14.1,79,416,178,13.9,58.6,1014.0,180,0.5
2020-01-01T01:00:00Z,2020-01-01T00:00:00Z,PT60M,13.6,30,123,42,12.4,62.7,1014.2,221,0.8
2020-01-01T02:00:00Z,2020-01-01T01:00:00Z,PT60M,12.9,0,0,0,11.9,68.6,1014.6,273,1.1
2020-01-01T03:00:00Z,2020-01-01T02:00:00Z,PT60M,12.5,0,0,0,11.6,73.8,1014.4,258,1.2
2020-01-01T04:00:00Z,2020-01-01T03:00:00Z,PT60M,12.3,0,0,0,12.1,77.9,1014.5,272,1.8
2020-01-01T05:00:00Z,2020-01-01T04:00:00Z,PT60M,12.1,0,0,0,11.9,82.2,1014.9,286,1.4
2020-01-01T06:00:00Z,2020-01-01T05:00:00Z,PT60M,11.8,0,0,0,12.3,86.4,1015.1,287,0.7
2020-01-01T07:00:00Z,2020-01-01T06:00:00Z,PT60M,11.7,0,0,0,12.6,87.2,1014.7,230,0.2
2020-01-01T08:00:00Z,2020-01-01T07:00:00Z,PT60M,11.7,0,0,0,12.7,85.2,1014.8,272,0.4
2020-01-01T09:00:00Z,2020-01-01T08:00:00Z,PT60M,11.5,0,0,0,13.8,85.5,1015.0,311,0.9
2020-01-01T10:00:00Z,2020-01-01T09:00:00Z,PT60M,11.2,0,0,0,16.3,86.6,1014.6,52,0.3
2020-01-01T11:00:00Z,2020-01-01T10:00:00Z,PT60M,11.1,0,0,0,19.8,86.3,1014.6,48,0.5
2020-01-01T12:00:00Z,2020-01-01T11:00:00Z,PT60M,11.1,0,0,0,23.7,86.0,1014.9,53,0.6
2020-01-01T13:00:00Z,2020-01-01T12:00:00Z,PT60M,11.2,0,0,0,26.5,85.2,1014.7,109,0.8
2020-01-01T14:00:00Z,2020-01-01T13:00:00Z,PT60M,11.1,0,0,0,27.7,84.3,1014.8,296,0.1
2020-01-01T15:00:00Z,2020-01-01T14:00:00Z,PT60M,11.0,0,0,0,28.7,84.9,1014.7,282,0.7
2020-01-01T16:00:00Z,2020-01-01T15:00:00Z,PT60M,11.1,10,16,11,28.8,84.8,1014.1,194,0.6
2020-01-01T17:00:00Z,2020-01-01T16:00:00Z,PT60M,11.5,84,26,87,28.7,82.9,1014.5,240,1.3
2020-01-01T18:00:00Z,2020-01-01T17:00:00Z,PT60M,12.1,157,145,200,28.6,82.2,1015.8,267,1.8
2020-01-01T19:00:00Z,2020-01-01T18:00:00Z,PT60M,12.6,216,147,276,28.5,81.7,1016.4,291,1.7
2020-01-01T20:00:00Z,2020-01-01T19:00:00Z,PT60M,13.3,228,193,321,27.8,81.5,1016.0,294,3.0
2020-01-01T21:00:00Z,2020-01-01T20:00:00Z,PT60M,13.9,218,275,351,27.1,83.0,1015.0,294,4.7
2020-01-01T22:00:00Z,2020-01-01T21:00:00Z,PT60M,14.3,214,124,272,26.5,84.7,1014.1,294,6.0
2020-01-01T23:00:00Z,2020-01-01T22:00:00Z,PT60M,14.1,117,0,117,25.7,86.3,1013.6,289,6.7
2020-01-02T00:00:00Z,2020-01-01T23:00:00Z,PT60M,13.5,99,38,106,23.1,88.3,1013.6,286,5.8
2020-01-02T01:00:00Z,2020-01-02T00:00:00Z,PT60M,12.9,31,42,37,20.2,91.5,1013.4,285,4.8
2020-01-02T02:00:00Z,2020-01-02T01:00:00Z,PT60M,12.7,0,0,0,19.5,94.3,1013.4,288,5.1
2020-01-02T03:00:00Z,2020-01-02T02:00:00Z,PT60M,12.7,0,0,0,20.0,94.6,1013.5,294,5.8
2020-01-02T04:00:00Z,2020-01-02T03:00:00Z,PT60M,12.6,0,0,0,20.0,93.6,1013.1,296,5.7
2020-01-02T05:00:00Z,2020-01-02T04:00:00Z,PT60M,12.5,0,0,0,19.0,92.4,1013.0,298,5.2
2020-01-02T06:00:00Z,2020-01-02T05:00:00Z,PT60M,12.2,0,0,0,18.9,93.3,1013.9,301,4.7
2020-01-02T07:00:00Z,2020-01-02T06:00:00Z,PT60M,12.0,0,0,0,18.3,93.9,1014.3,302,4.7
2020-01-02T08:00:00Z,2020-01-02T07:00:00Z,PT60M,11.9,0,0,0,16.9,92.7,1013.9,305,4.4
2020-01-02T09:00:00Z,2020-01-02T08:00:00Z,PT60M,11.6,0,0,0,16.0,92.7,1013.5,311,3.2
2020-01-02T10:00:00Z,2020-01-02T09:00:00Z,PT60M,11.4,0,0,0,15.6,92.6,1013.3,313,2.7
2020-01-02T11:00:00Z,2020-01-02T10:00:00Z,PT60M,11.3,0,0,0,16.0,91.4,1013.7,320,2.8
2020-01-02T12:00:00Z,2020-01-02T11:00:00Z,PT60M,11.1,0,0,0,16.2,89.6,1014.1,332,1.9
2020-01-02T13:00:00Z,2020-01-02T12:00:00Z,PT60M,10.8,0,0,0,15.8,88.0,1014.0,352,1.4
2020-01-02T14:00:00Z,2020-01-02T13:00:00Z,PT60M,10.6,0,0,0,15.9,87.1,1013.7,354,1.6
2020-01-02T15:00:00Z,2020-01-02T14:00:00Z,PT60M,10.4,0,0,0,15.6,86.5,1013.4,345,1.3
2020-01-02T16:00:00Z,2020-01-02T15:00:00Z,PT60M,10.4,10,23,12,14.8,85.3,1013.8,341,1.7
2020-01-02T17:00:00Z,2020-01-02T16:00:00Z,PT60M,10.7,53,375,127,14.0,81.4,1014.6,345,2.1
2020-01-02T18:00:00Z,2020-01-02T17:00:00Z,PT60M,11.3,53,752,288,12.6,72.7,1015.6,344,1.8
2020-01-02T19:00:00Z,2020-01-02T18:00:00Z,PT60M,12.0,68,814,405,11.5,65.5,1016.0,345,1.6
2020-01-02T20:00:00Z,2020-01-02T19:00:00Z,PT60M,12.7,66,869,478,11.2,61.9,1015.3,336,1.9
2020-01-02T21:00:00Z,2020-01-02T20:00:00Z,PT60M,13.3,145,634,452,10.7,60.0,1014.4,320,2.1
2020-01-02T22:00:00Z,2020-01-02T21:00:00Z,PT60M,13.9,166,508,393,10.3,60.6,1013.7,318,2.3
2020-01-02T23:00:00Z,2020-01-02T22:00:00Z,PT60M,14.2,118,555,316,10.0,61.7,1013.5,327,2.2
2020-01-03T00:00:00Z,2020-01-02T23:00:00Z,PT60M,14.2,77,474,190,9.3,65.0,1013.8,312,1.6
2020-01-03T01:00:00Z,2020-01-03T00:00:00Z,PT60M,13.8,26,236,51,9.3,69.9,1014.1,298,1.4
2020-01-03T02:00:00Z,2020-01-03T01:00:00Z,PT60M,13.4,0,0,0,9.8,72.5,1014.2,306,1.2
2020-01-03T03:00:00Z,2020-01-03T02:00:00Z,PT60M,13.2,0,0,0,9.9,73.4,1014.3,283,0.9
2020-01-03T04:00:00Z,2020-01-03T03:00:00Z,PT60M,13.0,0,0,0,10.1,74.1,1014.6,283,0.9
2020-01-03T05:00:00Z,2020-01-03T04:00:00Z,PT60M,12.8,0,0,0,10.4,75.1,1015.2,307,0.9
2020-01-03T06:00:00Z,2020-01-03T05:00:00Z,PT60M,12.6,0,0,0,10.1,76.4,1015.7,54,0.3
2020-01-03T07:00:00Z,2020-01-03T06:00:00Z,PT60M,12.4,0,0,0,9.8,77.4,1015.8,99,0.9
2020-01-03T08:00:00Z,2020-01-03T07:00:00Z,PT60M,12.2,0,0,0,10.1,77.1,1015.8,69,0.9
2020-01-03T09:00:00Z,2020-01-03T08:00:00Z,PT60M,12.1,0,0,0,10.2,75.8,1015.8,44,1.6
2020-01-03T10:00:00Z,2020-01-03T09:00:00Z,PT60M,11.9,0,0,0,10.0,75.5,1015.6,45,2.3
2020-01-03T11:00:00Z,2020-01-03T10:00:00Z,PT60M,11.6,0,0,0,9.8,75.2,1015.6,52,2.5
2020-01-03T12:00:00Z,2020-01-03T11:00:00Z,PT60M,11.4,0,0,0,9.5,77.0,1015.7,51,2.2
2020-01-03T13:00:00Z,2020-01-03T12:00:00Z,PT60M,11.2,0,0,0,9.3,77.7,1015.8,47,2.3
2020-01-03T14:00:00Z,2020-01-03T13:00:00Z,PT60M,11.1,0,0,0,9.4,74.8,1016.0,47,3.0
2020-01-03T15:00:00Z,2020-01-03T14:00:00Z,PT60M,10.8,0,0,0,9.6,74.3,1016.2,48,3.4
2020-01-03T16:00:00Z,2020-01-03T15:00:00Z,PT60M,10.5,7,71,13,9.8,75.2,1016.4,47,3.5
2020-01-03T17:00:00Z,2020-01-03T16:00:00Z,PT60M,10.6,53,447,131,9.8,75.0,1016.7,46,3.5
2020-01-03T18:00:00Z,2020-01-03T17:00:00Z,PT60M,10.9,83,628,277,9.7,75.1,1017.6,51,3.0
2020-01-03T19:00:00Z,2020-01-03T18:00:00Z,PT60M,11.5,80,775,403,9.7,73.6,1018.1,61,2.6
2020-01-03T20:00:00Z,2020-01-03T19:00:00Z,PT60M,12.3,73,857,480,9.8,70.1,1017.9,56,2.5
2020-01-03T21:00:00Z,2020-01-03T20:00:00Z,PT60M,13.0,126,700,466,9.8,67.4,1017.4,42,2.4
2020-01-03T22:00:00Z,2020-01-03T21:00:00Z,PT60M,13.5,115,692,423,9.7,65.7,1017.1,36,2.1
2020-01-03T23:00:00Z,2020-01-03T22:00:00Z,PT60M,13.7,129,497,310,9.9,65.5,1017.4,30,1.3
2020-01-04T00:00:00Z,2020-01-03T23:00:00Z,PT60M,13.6,90,403,184,9.5,66.2,1017.3,21,0.9
2020-01-04T01:00:00Z,2020-01-04T00:00:00Z,PT60M,13.2,24,240,53,9.2,67.9,1017.4,15,1.0
2020-01-04T02:00:00Z,2020-01-04T01:00:00Z,PT60M,12.8,0,0,0,9.3,70.2,1017.5,14,0.8
2020-01-04T03:00:00Z,2020-01-04T02:00:00Z,PT60M,12.5,0,0,0,9.5,71.8,1017.6,48,0.1
2020-01-04T04:00:00Z,2020-01-04T03:00:00Z,PT60M,12.4,0,0,0,10.1,72.8,1018.2,198,1.0
2020-01-04T05:00:00Z,2020-01-04T04:00:00Z,PT60M,12.3,0,0,0,10.4,74.5,1018.8,185,1.7
2020-01-04T06:00:00Z,2020-01-04T05:00:00Z,PT60M,12.2,0,0,0,10.3,75.3,1019.1,174,2.2
2020-01-04T07:00:00Z,2020-01-04T06:00:00Z,PT60M,12.1,0,0,0,10.3,76.3,1019.2,176,2.7
2020-01-04T08:00:00Z,2020-01-04T07:00:00Z,PT60M,11.9,0,0,0,10.6,79.7,1019.4,187,2.8
2020-01-04T09:00:00Z,2020-01-04T08:00:00Z,PT60M,11.8,0,0,0,11.8,83.9,1020.0,221,3.1
2020-01-04T10:00:00Z,2020-01-04T09:00:00Z,PT60M,11.7,0,0,0,12.7,87.0,1020.3,228,3.3
2020-01-04T11:00:00Z,2020-01-04T10:00:00Z,PT60M,11.5,0,0,0,14.3,87.5,1020.0,197,3.0
2020-01-04T12:00:00Z,2020-01-04T11:00:00Z,PT60M,11.4,0,0,0,18.9,87.8,1020.1,177,3.3
2020-01-04T13:00:00Z,2020-01-04T12:00:00Z,PT60M,11.4,0,0,0,21.7,87.2,1020.3,169,3.9
2020-01-04T14:00:00Z,2020-01-04T13:00:00Z,PT60M,11.6,0,0,0,20.4,87.2,1020.5,181,3.9
2020-01-04T15:00:00Z,2020-01-04T14:00:00Z,PT60M,11.7,0,0,0,18.2,88.1,1020.9,214,3.2
2020-01-04T16:00:00Z,2020-01-04T15:00:00Z,PT60M,11.7,7,0,7,15.7,86.9,1021.4,255,2.7
2020-01-04T17:00:00Z,2020-01-04T16:00:00Z,PT60M,11.8,78,1,78,12.9,84.6,1022.3,292,2.8
2020-01-04T18:00:00Z,2020-01-04T17:00:00Z,PT60M,12.1,141,289,231,10.3,83.3,1023.7,321,1.8
2020-01-04T19:00:00Z,2020-01-04T18:00:00Z,PT60M,12.4,135,501,348,9.2,81.1,1024.7,342,1.0
2020-01-04T20:00:00Z,2020-01-04T19:00:00Z,PT60M,12.6,193,342,353,9.3,78.2,1024.6,332,1.5
2020-01-04T21:00:00Z,2020-01-04T20:00:00Z,PT60M,12.7,233,311,384,9.6,76.1,1023.8,325,2.2
2020-01-04T22:00:00Z,2020-01-04T21:00:00Z,PT60M,12.8,202,370,369,9.3,74.3,1023.2,307,2.9
2020-01-04T23:00:00Z,2020-01-04T22:00:00Z,PT60M,12.8,137,470,307,8.9,74.1,1023.1,297,3.7
2020-01-05T00:00:00Z,2020-01-04T23:00:00Z,PT60M,12.7,72,531,195,8.7,76.1,1023.3,293,3.5
2020-01-05T01:00:00Z,2020-01-05T00:00:00Z,PT60M,12.3,27,197,53,8.5,79.5,1023.4,296,2.7
2020-01-05T02:00:00Z,2020-01-05T01:00:00Z,PT60M,11.8,0,0,0,8.8,82.4,1023.6,305,3.2
2020-01-05T03:00:00Z,2020-01-05T02:00:00Z,PT60M,11.4,0,0,0,9.3,84.1,1023.7,307,3.4
2020-01-05T04:00:00Z,2020-01-05T03:00:00Z,PT60M,11.2,0,0,0,9.9,84.9,1023.5,303,3.0
2020-01-05T05:00:00Z,2020-01-05T04:00:00Z,PT60M,11.0,0,0,0,10.5,84.6,1023.6,305,3.0
2020-01-05T06:00:00Z,2020-01-05T05:00:00Z,PT60M,10.9,0,0,0,11.3,84.6,1024.3,303,2.6
2020-01-05T07:00:00Z,2020-01-05T06:00:00Z,PT60M,10.8,0,0,0,11.5,84.0,1025.0,297,3.1
2020-01-05T08:00:00Z,2020-01-05T07:00:00Z,PT60M,10.5,0,0,0,10.8,81.1,1025.2,304,4.2
2020-01-05T09:00:00Z,2020-01-05T08:00:00Z,PT60M,10.4,0,0,0,9.3,77.6,1025.2,311,5.0
2020-01-05T10:00:00Z,2020-01-05T09:00:00Z,PT60M,10.2,0,0,0,7.9,75.4,1025.2,314,5.6
2020-01-05T11:00:00Z,2020-01-05T10:00:00Z,PT60M,9.8,0,0,0,7.4,74.6,1025.5,321,4.8
2020-01-05T12:00:00Z,2020-01-05T11:00:00Z,PT60M,9.6,0,0,0,7.7,73.5,1026.0,337,3.4
2020-01-05T13:00:00Z,2020-01-05T12:00:00Z,PT60M,9.5,0,0,0,8.4,73.0,1026.4,344,3.2
2020-01-05T14:00:00Z,2020-01-05T13:00:00Z,PT60M,9.3,0,0,0,9.2,72.5,1027.0,344,3.8
2020-01-05T15:00:00Z,2020-01-05T14:00:00Z,PT60M,9.2,0,0,0,9.9,71.4,1027.5,347,3.7
2020-01-05T16:00:00Z,2020-01-05T15:00:00Z,PT60M,9.0,7,82,14,10.0,70.7,1027.8,344,3.0
2020-01-05T17:00:00Z,2020-01-05T16:00:00Z,PT60M,9.5,37,574,138,10.1,69.0,1028.5,333,3.0
2020-01-05T18:00:00Z,2020-01-05T17:00:00Z,PT60M,10.4,53,759,291,10.1,64.2,1029.2,328,2.5
2020-01-05T19:00:00Z,2020-01-05T18:00:00Z,PT60M,11.2,63,831,410,10.5,60.5,1029.9,313,2.6
2020-01-05T20:00:00Z,2020-01-05T19:00:00Z,PT60M,12.0,68,860,479,11.2,60.8,1029.9,306,3.4
2020-01-05T21:00:00Z,2020-01-05T20:00:00Z,PT60M,12.7,107,743,471,12.0,61.8,1029.0,308,4.1
2020-01-05T22:00:00Z,2020-01-05T21:00:00Z,PT60M,13.2,164,512,395,12.4,62.1,1027.9,313,4.3
2020-01-05T23:00:00Z,2020-01-05T22:00:00Z,PT60M,13.5,127,510,314,11.9,62.6,1027.4,311,4.2
2020-01-06T00:00:00Z,2020-01-05T23:00:00Z,PT60M,13.1,53,630,206,11.2,68.0,1027.6,303,4.7
2020-01-06T01:00:00Z,2020-01-06T00:00:00Z,PT60M,12.4,24,273,57,10.9,75.9,1027.7,303,4.5
2020-01-06T02:00:00Z,2020-01-06T01:00:00Z,PT60M,11.7,0,0,0,11.2,80.0,1027.8,311,3.9
2020-01-06T03:00:00Z,2020-01-06T02:00:00Z,PT60M,11.3,0,0,0,11.6,81.8,1027.7,317,3.5
2020-01-06T04:00:00Z,2020-01-06T03:00:00Z,PT60M,11.0,0,0,0,11.8,82.3,1027.7,318,3.6
2020-01-06T05:00:00Z,2020-01-06T04:00:00Z,PT60M,10.8,0,0,0,11.9,82.0,1027.8,324,3.8
2020-01-06T06:00:00Z,2020-01-06T05:00:00Z,PT60M,10.6,0,0,0,12.0,80.6,1028.1,333,3.5
2020-01-06T07:00:00Z,2020-01-06T06:00:00Z,PT60M,10.4,0,0,0,12.0,79.5,1028.2,340,3.0
2020-01-06T08:00:00Z,2020-01-06T07:00:00Z,PT60M,10.2,0,0,0,11.8,78.9,1028.3,342,3.0
2020-01-06T09:00:00Z,2020-01-06T08:00:00Z,PT60M,9.9,0,0,0,11.6,77.8,1028.0,348,3.0
2020-01-06T10:00:00Z,2020-01-06T09:00:00Z,PT60M,9.6,0,0,0,11.7,76.7,1027.2,358,2.7
2020-01-06T11:00:00Z,2020-01-06T10:00:00Z,PT60M,9.3,0,0,0,11.9,75.8,1026.8,4,2.3
2020-01-06T12:00:00Z,2020-01-06T11:00:00Z,PT60M,9.1,0,0,0,12.6,77.1,1027.1,1,1.9
2020-01-06T13:00:00Z,2020-01-06T12:00:00Z,PT60M,9.0,0,0,0,13.3,78.4,1027.0,10,1.5
2020-01-06T14:00:00Z,2020-01-06T13:00:00Z,PT60M,8.8,0,0,0,13.6,78.1,1026.4,36,1.3
2020-01-06T15:00:00Z,2020-01-06T14:00:00Z,PT60M,8.7,0,0,0,13.9,77.9,1026.5,31,1.3
2020-01-06T16:00:00Z,2020-01-06T15:00:00Z,PT60M,8.8,6,90,14,13.8,76.8,1026.6,31,1.8
2020-01-06T17:00:00Z,2020-01-06T16:00:00Z,PT60M,9.2,35,588,139,13.4,73.9,1026.6,40,1.9
2020-01-06T18:00:00Z,2020-01-06T17:00:00Z,PT60M,9.9,51,761,290,13.5,70.1,1026.9,45,1.8
2020-01-06T19:00:00Z,2020-01-06T18:00:00Z,PT60M,10.7,60,834,409,13.9,65.7,1026.6,53,1.9
2020-01-06T20:00:00Z,2020-01-06T19:00:00Z,PT60M,11.5,71,845,476,14.1,60.8,1025.8,52,1.7
2020-01-06T21:00:00Z,2020-01-06T20:00:00Z,PT60M,12.2,117,712,467,14.1,56.9,1024.7,32,1.7
2020-01-06T22:00:00Z,2020-01-06T21:00:00Z,PT60M,12.7,173,479,391,14.0,54.9,1023.6,16,2.4
2020-01-06T23:00:00Z,2020-01-06T22:00:00Z,PT60M,13.2,138,468,309,13.7,54.0,1022.9,9,2.7
2020-01-07T00:00:00Z,2020-01-06T23:00:00Z,PT60M,13.1,70,538,201,12.5,57.0,1023.1,354,2.4
2020-01-07T01:00:00Z,2020-01-07T00:00:00Z,PT60M,12.6,23,324,61,11.7,62.0,1023.2,334,2.6
2020-01-07T02:00:00Z,2020-01-07T01:00:00Z,PT60M,12.1,0,0,0,11.9,64.5,1023.0,340,2.7
2020-01-07T03:00:00Z,2020-01-07T02:00:00Z,PT60M,11.7,0,0,0,12.0,66.0,1022.9,345,2.4
2020-01-07T04:00:00Z,2020-01-07T03:00:00Z,PT60M,11.4,0,0,0,11.8,67.3,1022.7,339,2.2
2020-01-07T05:00:00Z,2020-01-07T04:00:00Z,PT60M,11.0,0,0,0,11.4,68.4,1022.4,344,2.4
2020-01-07T06:00:00Z,2020-01-07T05:00:00Z,PT60M,10.8,0,0,0,10.6,70.3,1022.0,14,1.7
2020-01-07T07:00:00Z,2020-01-07T06:00:00Z,PT60M,10.7,0,0,0,9.9,71.2,1021.4,38,1.5
2020-01-07T08:00:00Z,2020-01-07T07:00:00Z,PT60M,10.5,0,0,0,9.6,70.2,1020.9,16,2.0
2020-01-07T09:00:00Z,2020-01-07T08:00:00Z,PT60M,10.3,0,0,0,9.5,69.9,1020.3,20,2.7
2020-01-07T10:00:00Z,2020-01-07T09:00:00Z,PT60M,10.0,0,0,0,9.4,70.4,1019.9,22,2.8
2020-01-07T11:00:00Z,2020-01-07T10:00:00Z,PT60M,9.8,0,0,0,9.1,70.6,1019.9,21,2.9
2020-01-07T12:00:00Z,2020-01-07T11:00:00Z,PT60M,9.5,0,0,0,9.2,72.5,1019.7,25,2.6
2020-01-07T13:00:00Z,2020-01-07T12:00:00Z,PT60M,9.2,0,0,0,9.3,74.0,1019.3,21,2.5
2020-01-07T14:00:00Z,2020-01-07T13:00:00Z,PT60M,9.0,0,0,0,9.1,73.7,1018.5,26,3.0
2020-01-07T15:00:00Z,2020-01-07T14:00:00Z,PT60M,8.8,0,0,0,9.0,73.4,1017.6,33,3.1
2020-01-07T16:00:00Z,2020-01-07T15:00:00Z,PT60M,8.6,8,59,13,9.1,72.1,1017.1,37,3.0
2020-01-07T17:00:00Z,2020-01-07T16:00:00Z,PT60M,8.9,50,461,131,9.3,69.4,1017.3,31,2.5
2020-01-07T18:00:00Z,2020-01-07T17:00:00Z,PT60M,9.3,94,558,273,9.1,68.8,1018.1,14,1.9
2020-01-07T19:00:00Z,2020-01-07T18:00:00Z,PT60M,9.7,88,761,407,8.8,69.3,1018.2,346,2.0
2020-01-07T20:00:00Z,2020-01-07T19:00:00Z,PT60M,10.4,146,641,452,8.5,68.2,1017.1,337,2.3
2020-01-07T21:00:00Z,2020-01-07T20:00:00Z,PT60M,10.9,200,458,424,7.8,66.7,1015.7,315,2.0
2020-01-07T22:00:00Z,2020-01-07T21:00:00Z,PT60M,11.3,187,467,400,7.4,67.3,1014.7,283,2.7
2020-01-07T23:00:00Z,2020-01-07T22:00:00Z,PT60M,11.6,135,509,323,8.1,71.4,1014.3,280,3.8
2020-01-08T00:00:00Z,2020-01-07T23:00:00Z,PT60M,11.5,58,577,207,9.5,78.9,1014.7,284,4.6
2020-01-08T01:00:00Z,2020-01-08T00:00:00Z,PT60M,11.3,24,318,63,10.1,85.2,1014.6,283,4.6
2020-01-08T02:00:00Z,2020-01-08T01:00:00Z,PT60M,11.2,0,0,0,10.2,85.1,1014.3,282,4.4
