month,day,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_DHI,Daily_radiation
1,23,9.827272727272726,12.345454545454546,74.0,1008.2909090909088,232.54545454545453,2.5181818181818185,454.3636363636364,87.0,272.54545454545456
6,2,18.19375,23.49375,64.625,1009.81875,236.8125,2.55625,633.875,90.0,534.75
11,23,12.1,16.5,77.6,1011.3,270.1,2.45,432.7,103.2,282.2
2,8,12.1,8.027272727272726,71.18181818181819,1012.6454545454544,280.8181818181818,2.4454545454545453,506.1818181818182,104.27272727272728,340.90909090909093
8,2,16.666666666666664,13.426666666666666,74.4,1010.96,240.26666666666668,3.6066666666666674,460.4,133.06666666666666,488.73333333333335
12,17,9.86,7.540000000000001,69.3,1018.27,129.2,2.0700000000000003,617.0,62.7,279.0
11,8,12.081818181818182,9.363636363636363,52.0,1002.5636363636363,301.72727272727275,9.136363636363637,508.6363636363636,100.0909090909091,311.09090909090907
11,10,11.363636363636365,10.745454545454548,50.09090909090909,1017.6727272727272,179.1818181818182,1.7272727272727268,604.4545454545455,69.81818181818181,325.27272727272725
4,28,14.892857142857142,9.485714285714286,59.214285714285715,1015.1857142857143,225.64285714285717,3.0642857142857145,766.0714285714287,78.0,579.4285714285714
3,9,12.808333333333335,15.533333333333333,60.91666666666666,1012.3333333333336,122.66666666666669,2.35,507.33333333333326,135.91666666666666,425.41666666666674
3,21,11.4,9.023076923076925,63.384615384615394,1019.4846153846154,297.84615384615387,4.153846153846153,674.1538461538463,91.15384615384615,482.23076923076917
7,13,13.42,16.666666666666668,80.8,1007.5533333333333,241.33333333333331,5.1466666666666665,41.4,271.2,308.2
8,18,16.95714285714286,13.214285714285715,68.0,1004.2928571428572,233.14285714285717,4.05,186.35714285714286,293.5,398.0
1,14,14.263636363636365,17.02727272727273,74.27272727272727,1020.8272727272728,116.36363636363636,2.4727272727272727,504.0,69.45454545454545,263.27272727272725
11,29,15.72,17.87,61.1,1015.51,120.1,2.39,567.4,77.6,291.1
3,26,10.2,9.092307692307692,58.46153846153846,1012.0999999999997,201.15384615384616,3.8230769230769215,702.5384615384614,89.46153846153847,506.6923076923077
