,MonthPE,Date,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_DHI,Daily_radiation
2020-04-02,4,2020-04-02,12.069230769230769,6.838461538461538,50.92307692307692,1012.4461538461538,304.46153846153845,4.684615384615384,788.1538461538462,73.92307692307692,550.3846153846154
2020-04-03,4,2020-04-03,11.77692307692308,11.076923076923078,56.61538461538461,1012.7230769230769,297.0769230769231,4.684615384615385,704.7692307692307,92.0,534.3846153846154
2020-04-04,4,2020-04-04,11.161538461538463,19.276923076923076,82.15384615384616,1007.5692307692308,220.46153846153845,6.138461538461538,165.15384615384616,202.69230769230768,274.2307692307692
2020-04-05,4,2020-04-05,11.553846153846154,17.499999999999996,81.23076923076923,1000.2461538461539,232.84615384615384,5.546153846153847,11.692307692307692,222.84615384615384,230.0
2020-04-06,4,2020-04-06,10.042857142857143,13.6,72.42857142857143,1003.6857142857143,143.85714285714286,2.8071428571428574,12.142857142857142,179.85714285714286,188.78571428571428
2020-04-07,4,2020-04-07,10.464285714285712,12.507142857142858,72.64285714285714,1012.0857142857143,172.92857142857142,1.8142857142857143,525.5714285714286,88.14285714285714,446.2857142857143
2020-04-08,4,2020-04-08,12.478571428571428,17.07857142857143,75.07142857142857,1009.8428571428573,249.92857142857142,3.5857142857142854,250.78571428571428,212.85714285714286,351.0
2020-04-09,4,2020-04-09,13.285714285714286,21.157142857142862,75.35714285714286,1009.9214285714286,177.57142857142858,2.5214285714285722,32.0,230.5,253.0
2020-04-10,4,2020-04-10,13.878571428571428,19.62857142857143,76.28571428571429,1011.5500000000001,275.2857142857143,3.1142857142857143,348.14285714285717,176.21428571428572,407.85714285714283
2020-04-11,4,2020-04-11,12.407142857142855,19.435714285714283,79.64285714285714,1011.5714285714283,254.14285714285714,3.471428571428571,142.5,149.64285714285714,211.5
2020-04-12,4,2020-04-12,12.835714285714285,19.02142857142857,76.35714285714286,1011.0428571428571,229.14285714285714,2.307142857142857,111.64285714285714,213.78571428571428,302.42857142857144
